campaign,Date,chamber,leaf_type,WP_type,WP,leaf_area,leaf_mass,,,,,,,
1,25/10/2013,3,shade,mid,10.8,38.07,0.43,,,,,,,
1,25/10/2013,4,sun,mid,19.2,55.8,0.61,,,,,,,
1,25/10/2013,4,shade,mid,22.1,33.8,0.43,,,,,,,
1,26/10/2013,1,sun,pre,2.8,48.88,0.55,,,,,,,
1,26/10/2013,1,shade,pre,2.9,31.72,0.38,,,,,,,
1,26/10/2013,2,sun,pre,3.6,29.81,0.22,,,,,,,
1,26/10/2013,2,shade,pre,2.8,30.07,0.29,,,,,,,
1,26/10/2013,10,sun,pre,2.4,36.41,0.4,,,,,,,
1,26/10/2013,10,shade,pre,2.3,30.23,0.34,,,,,,,
1,26/10/2013,11,sun,pre,4.45,40.86,0.39,,,,,,,
1,26/10/2013,11,shade,pre,3.5,27.24,0.33,,,,,,,
1,26/10/2013,1,shade,mid,11.5,34.49,0.36,,,,,,,
1,26/10/2013,1,sun,mid,10.4,48.43,0.47,,,,,,,
1,26/10/2013,2,shade,mid,10.6,39.24,0.41,,,,,,,
1,26/10/2013,2,sun,mid,19.3,36.29,0.29,,,,,,,
1,26/10/2013,11,shade,mid,21.6,29.9,0.47,,,,,,,
1,26/10/2013,11,sun,mid,10,46.54,0.44,,,,,,,
1,26/10/2013,10,sun,mid,8,42.44,0.51,,,,,,,
1,26/10/2013,10,shade,mid,11.5,35.22,0.32,,,,,,,
2,9/12/2012,1,sun,pre,1.4,52.15,0.56,,,,,,,
2,9/12/2012,1,shade,pre,1.4,45.38,0.48,,,,,,,
2,9/12/2012,1,sun,mid,11.4,48.98,0.52,,,,,,,
2,9/12/2012,1,shade,mid,11.1,48.08,0.49,,,,,,,
2,11/12/2013,2,sun,pre,2.1,57.68,0.42,,,,,,,
2,11/12/2013,2,shade,pre,2.2,38.85,0.4,,,,,,,
2,11/12/2013,2,sun,mid,19,50.89,0.39,,,,,,,
2,11/12/2013,2,shade,mid,15.2,39.44,0.4,,,,,,,
2,11/12/2013,3,sun,pre,1.9,57.26,0.61,,,,,,,
2,11/12/2013,3,shade,pre,1.8,64.2,0.69,,,,,,,
2,11/12/2013,3,sun,mid,12.2,48.21,0.52,,,,,,,
2,11/12/2013,3,shade,mid,18.6,41,0.39,,,,,,,
2,10/12/2013,4,sun,pre,2.8,40.26,0.54,,,,,,,
2,10/12/2013,4,shade,pre,3.4,56.5,0.7,,,,,,,
2,10/12/2013,4,sun,mid,13.1,45.88,0.52,,,,,,,
2,10/12/2013,4,shade,mid,19.1,55.76,0.77,,,,,,,
2,10/12/2013,5,sun,pre,2.1,41.27,0.65,,,,,,,
2,10/12/2013,5,shade,pre,1.7,46.77,0.59,,,,,,,
2,10/12/2013,5,sun,mid,35,57.52,0.75,,,,,,,
2,10/12/2013,5,shade,mid,13.4,56.23,0.6,,,,,,,
2,10/12/2013,6,sun,pre,3.3,40.36,0.4,,,,,,,
2,10/12/2013,6,shade,pre,4.5,32.82,0.38,,,,,,,
2,10/12/2013,6,sun,mid,17.4,34.16,0.34,,,,,,,
2,10/12/2013,6,shade,mid,21.7,36.66,0.37,,,,,,,
2,10/12/2013,7,sun,pre,3.4,56.28,0.73,,,,,,,
2,10/12/2013,7,shade,pre,1.9,60.04,0.72,,,,,,,
2,10/12/2013,7,sun,mid,12.3,53.95,0.56,,,,,,,
2,10/12/2013,7,shade,mid,16.3,54.04,0.58,,,,,,,
2,11/12/2013,8,sun,pre,2.4,64.48,0.56,,,,,,,
2,11/12/2013,8,shade,pre,1.4,62.14,0.78,,,,,,,
2,11/12/2013,8,sun,mid,10.9,54.69,0.74,,,,,,,
2,11/12/2013,8,shade,mid,18.9,52.05,0.85,,,,,,,
2,11/12/2013,9,sun,pre,2.4,66.52,0.53,,,,,,,
2,11/12/2013,9,shade,pre,2.1,59.13,0.61,,,,,,,
2,11/12/2013,9,sun,mid,13.8,57.26,0.74,,,,,,,
2,11/12/2013,9,shade,mid,13.7,32.36,0.31,,,,,,,
2,9/12/2012,10,sun,pre,2.1,34.28,0.46,,,,,,,
2,9/12/2012,10,shade,pre,2.1,31.42,0.41,,,,,,,
2,9/12/2012,10,sun,mid,12.4,37.88,0.39,,,,,,,
2,9/12/2012,10,shade,mid,14.1,31.61,0.3,,,,,,,
2,9/12/2012,11,sun,pre,2,44.72,0.46,,,,,,,
2,9/12/2012,11,shade,pre,1.8,25.71,0.31,,,,,,,
2,9/12/2012,11,sun,mid,6.8,46.98,0.74,,,,,,,
2,9/12/2012,11,shade,mid,15.2,52.04,0.57,,,,,,,
2,9/12/2012,12,sun,pre,2.1,51.2,0.71,,,,,,,
2,9/12/2012,12,shade,pre,2.2,42.62,0.42,,,,,,,
2,9/12/2012,12,sun,mid,22.7,45.23,0.67,,,,,,,
2,9/12/2012,12,shade,mid,17.9,47.14,0.82,,,,,,,
3,28/01/2014,1,sun,pre,2.3,43.34,0.32,,,,,,,
3,28/01/2014,1,shade,pre,2.2,72.18,0.75,,,,,,,
3,28/01/2014,1,sun,mid,17.8,49.32,0.36,,,,,,,
3,28/01/2014,1,shade,mid,17.8,58.56,0.58,,,,,,,
3,29/01/2014,2,sun,pre,3.6,33.41,0.33,,,,,,,
3,29/01/2014,2,shade,pre,3.4,49.46,0.52,,,,,,,
3,29/01/2014,2,sun,mid,25.8,35.38,0.36,,,,,,,
3,29/01/2014,2,shade,mid,22.4,40.36,0.45,,,,,,,
3,30/01/2014,3,sun,pre,3,49.89,0.45,,,,,,,
3,30/01/2014,3,shade,pre,2.9,57.56,0.74,,,,,,,
3,30/01/2014,3,sun,mid,16.1,48.37,0.42,,,,,,,
3,30/01/2014,3,shade,mid,11.3,52.71,0.61,,,,,,,
3,30/01/2014,4,sun,pre,3.7,44.5,0.59,,,,,,,
3,30/01/2014,4,shade,pre,3.9,42.83,0.39,,,,,,,
3,30/01/2014,4,sun,mid,16.9,48.7,0.51,,,,,,,
3,30/01/2014,4,shade,mid,13.7,53.61,0.55,,,,,,,
3,28/01/2014,5,sun,pre,2.6,36.24,0.41,,,,,,,
3,28/01/2014,5,shade,pre,2.1,45.65,0.59,,,,,,,
3,28/01/2014,5,sun,mid,16.8,46.31,0.52,,,,,,,
3,28/01/2014,5,shade,mid,10.9,44.61,0.56,,,,,,,
3,28/01/2014,6,sun,pre,2.6,44.32,0.5,,,,,,,
3,28/01/2014,6,shade,pre,2.5,26.01,0.27,,,,,,,
3,28/01/2014,6,sun,mid,19.9,40.32,0.34,,,,,,,
3,28/01/2014,6,shade,mid,14.7,34.71,0.38,,,,,,,
3,29/01/2014,7,sun,pre,3.5,53.43,0.53,,,,,,,
3,29/01/2014,7,shade,pre,3.1,62.21,0.94,,,,,,,
3,29/01/2014,7,sun,mid,14.8,64.25,0.69,,,,,,,
3,29/01/2014,7,shade,mid,17,65.88,1,,,,,,,
3,29/01/2014,8,sun,pre,3.5,45.81,0.54,,,,,,,
3,29/01/2014,8,shade,pre,3.8,66.37,0.83,,,,,,,
3,29/01/2014,8,sun,mid,13.8,44.04,0.54,,,,,,,
3,29/01/2014,8,shade,mid,12.8,56.49,0.71,,,,,,,
3,29/01/2014,9,sun,pre,4.5,49.92,0.48,,,,,,,
3,29/01/2014,9,shade,pre,3.5,44.44,0.59,,,,,,,
3,29/01/2014,9,sun,mid,21.8,58.25,0.45,,,,,,,
3,29/01/2014,9,shade,mid,12.8,35.42,0.61,,,,,,,
3,28/01/2014,10,sun,pre,2.5,31.48,0.22,,,,,,,
3,28/01/2014,10,shade,pre,2.6,41.47,0.57,,,,,,,
3,28/01/2014,10,sun,mid,13.8,29.05,0.31,,,,,,,
3,28/01/2014,10,shade,mid,14.3,32.73,0.42,,,,,,,
3,28/01/2014,11,sun,pre,2,39.48,0.4,,,,,,,
3,28/01/2014,11,shade,pre,1.5,38.26,0.47,,,,,,,
3,28/01/2014,11,sun,mid,14.8,39.7,0.47,,,,,,,
3,28/01/2014,11,shade,mid,9.8,43.71,0.56,,,,,,,
3,28/01/2014,12,sun,pre,2.8,36.29,0.33,,,,,,,
3,28/01/2014,12,shade,pre,2.7,39.21,0.66,,,,,,,
3,28/01/2014,12,sun,mid,16.5,46.07,0.37,,,,,,,
3,28/01/2014,12,shade,mid,19.2,44.52,0.59,,,,,,,
