Month,Date,chamber,leaf,wp_type,water_potential,leaf_area,leaf_mass
Oct,26/10/2013,ch10,shade,mid,11.5,35.22,0.32
Oct,26/10/2013,ch11,sun,pre,4.45,40.86,0.39
Oct,26/10/2013,ch11,shade,pre,3.5,27.24,0.33
Oct,26/10/2013,ch11,shade,mid,21.6,29.9,0.47
Oct,26/10/2013,ch11,sun,mid,10,46.54,0.44
Oct,24/10/2013,ch12,shade,pre,2.2,36.2,0.48
Oct,24/10/2013,ch12,sun,pre,3.12,46.2,0.46
Oct,24/10/2013,ch12,shade,mid,23,49.72,0.66
Oct,24/10/2013,ch12,sun,mid,21.37,35.03,0.39
Dec,9/12/2013,ch01,sun,pre,1.4,52.15,0.56
Dec,9/12/2013,ch01,shade,pre,1.4,45.38,0.48
Dec,9/12/2013,ch01,sun,mid,11.4,48.98,0.52
Dec,9/12/2013,ch01,shade,mid,11.1,48.08,0.49
Dec,11/12/2013,ch02,sun,pre,2.1,57.68,0.42
Dec,11/12/2013,ch02,shade,pre,2.2,38.85,0.4
Dec,11/12/2013,ch02,sun,mid,19,50.89,0.39
Dec,11/12/2013,ch02,shade,mid,15.2,39.44,0.4
Dec,11/12/2013,ch03,sun,pre,1.9,57.26,0.61
Dec,11/12/2013,ch03,shade,pre,1.8,64.2,0.69
Dec,11/12/2013,ch03,sun,mid,12.2,48.21,0.52
Dec,11/12/2013,ch03,shade,mid,18.6,41,0.39
Dec,10/12/2013,ch04,sun,pre,2.8,40.26,0.54
Dec,10/12/2013,ch04,shade,pre,3.4,56.5,0.7
Dec,10/12/2013,ch04,sun,mid,13.1,45.88,0.52
Dec,10/12/2013,ch04,shade,mid,19.1,55.76,0.77
Dec,10/12/2013,ch05,sun,pre,2.1,41.27,0.65
Dec,10/12/2013,ch05,shade,pre,1.7,46.77,0.59
Dec,10/12/2013,ch05,sun,mid,35,57.52,0.75
Dec,10/12/2013,ch05,shade,mid,13.4,56.23,0.6
Dec,10/12/2013,ch06,sun,pre,3.3,40.36,0.4
Dec,10/12/2013,ch06,shade,pre,4.5,32.82,0.38
Dec,10/12/2013,ch06,sun,mid,17.4,34.16,0.34
Dec,10/12/2013,ch06,shade,mid,21.7,36.66,0.37
Dec,10/12/2013,ch07,sun,pre,3.4,56.28,0.73
Dec,10/12/2013,ch07,shade,pre,1.9,60.04,0.72
Dec,10/12/2013,ch07,sun,mid,12.3,53.95,0.56
Dec,10/12/2013,ch07,shade,mid,16.3,54.04,0.58
Dec,11/12/2013,ch08,sun,pre,2.4,64.48,0.56
Dec,11/12/2013,ch08,shade,pre,1.4,62.14,0.78
Dec,11/12/2013,ch08,sun,mid,10.9,54.69,0.74
Dec,11/12/2013,ch08,shade,mid,18.9,52.05,0.85
Dec,11/12/2013,ch09,sun,pre,2.4,66.52,0.53
Dec,11/12/2013,ch09,shade,pre,2.1,59.13,0.61
Dec,11/12/2013,ch09,sun,mid,13.8,57.26,0.74
Dec,11/12/2013,ch09,shade,mid,13.7,32.36,0.31
Dec,9/12/2013,ch10,sun,pre,2.1,34.28,0.46
Dec,9/12/2013,ch10,shade,pre,2.1,31.42,0.41
Dec,9/12/2013,ch10,sun,mid,12.4,37.88,0.39
Dec,9/12/2013,ch10,shade,mid,14.1,31.61,0.3
Dec,9/12/2013,ch11,sun,pre,2,44.72,0.46
Dec,9/12/2013,ch11,shade,pre,1.8,25.71,0.31
Dec,9/12/2013,ch11,sun,mid,6.8,46.98,0.74
Dec,9/12/2013,ch11,shade,mid,15.2,52.04,0.57
Dec,9/12/2013,ch12,sun,pre,2.1,51.2,0.71
Dec,9/12/2013,ch12,shade,pre,2.2,42.62,0.42
Dec,9/12/2013,ch12,sun,mid,22.7,45.23,0.67
Dec,9/12/2013,ch12,shade,mid,17.9,47.14,0.82
Jan,28/01/2014,ch01,sun,pre,2.3,43.34,0.32
Jan,28/01/2014,ch01,shade,pre,2.2,72.18,0.75
Jan,28/01/2014,ch01,sun,mid,17.8,49.32,0.36
Jan,28/01/2014,ch01,shade,mid,17.8,58.56,0.58
Jan,29/01/2014,ch02,sun,pre,3.6,33.41,0.33
Jan,29/01/2014,ch02,shade,pre,3.4,49.46,0.52
Jan,29/01/2014,ch02,sun,mid,25.8,35.38,0.36
Jan,29/01/2014,ch02,shade,mid,22.4,40.36,0.45
Jan,30/01/2014,ch03,sun,pre,3,49.89,0.45
Jan,30/01/2014,ch03,shade,pre,2.9,57.56,0.74
Jan,30/01/2014,ch03,sun,mid,16.1,48.37,0.42
Jan,30/01/2014,ch03,shade,mid,11.3,52.71,0.61
Jan,30/01/2014,ch04,sun,pre,3.7,44.5,0.59
Jan,30/01/2014,ch04,shade,pre,3.9,42.83,0.39
Jan,30/01/2014,ch04,sun,mid,16.9,48.7,0.51
Jan,30/01/2014,ch04,shade,mid,13.7,53.61,0.55
Jan,28/01/2014,ch05,sun,pre,2.6,36.24,0.41
Jan,28/01/2014,ch05,shade,pre,2.1,45.65,0.59
Jan,28/01/2014,ch05,sun,mid,16.8,46.31,0.52
Jan,28/01/2014,ch05,shade,mid,10.9,44.61,0.56
Jan,28/01/2014,ch06,sun,pre,2.6,44.32,0.5
Jan,28/01/2014,ch06,shade,pre,2.5,26.01,0.27
Jan,28/01/2014,ch06,sun,mid,19.9,40.32,0.34
Jan,28/01/2014,ch06,shade,mid,14.7,34.71,0.38
Jan,29/01/2014,ch07,sun,pre,3.5,53.43,0.53
Jan,29/01/2014,ch07,shade,pre,3.1,62.21,0.94
Jan,29/01/2014,ch07,sun,mid,14.8,64.25,0.69
Jan,29/01/2014,ch07,shade,mid,17,65.88,1
Jan,29/01/2014,ch08,sun,pre,3.5,45.81,0.54
Jan,29/01/2014,ch08,shade,pre,3.8,66.37,0.83
Jan,29/01/2014,ch08,sun,mid,13.8,44.04,0.54
Jan,29/01/2014,ch08,shade,mid,12.8,56.49,0.71
Jan,29/01/2014,ch09,sun,pre,4.5,49.92,0.48
Jan,29/01/2014,ch09,shade,pre,3.5,44.44,0.59
Jan,29/01/2014,ch09,sun,mid,21.8,58.25,0.45
Jan,29/01/2014,ch09,shade,mid,12.8,35.42,0.61
Jan,28/01/2014,ch10,sun,pre,2.5,31.48,0.22
Jan,28/01/2014,ch10,shade,pre,2.6,41.47,0.57
Jan,28/01/2014,ch10,sun,mid,13.8,29.05,0.31
Jan,28/01/2014,ch10,shade,mid,14.3,32.73,0.42
Jan,28/01/2014,ch11,sun,pre,2,39.48,0.4
Jan,28/01/2014,ch11,shade,pre,1.5,38.26,0.47
Jan,28/01/2014,ch11,sun,mid,14.8,39.7,0.47
Jan,28/01/2014,ch11,shade,mid,9.8,43.71,0.56
Jan,28/01/2014,ch12,sun,pre,2.8,36.29,0.33
Jan,28/01/2014,ch12,shade,pre,2.7,39.21,0.66
Jan,28/01/2014,ch12,sun,mid,16.5,46.07,0.37
Jan,28/01/2014,ch12,shade,mid,19.2,44.52,0.59
Feb,24/02/2014,ch01,sun,pre,4.5,41.94,0.3
Feb,24/02/2014,ch01,shade,pre,3.8,56.98,0.52
Feb,24/02/2014,ch01,sun,mid,20.8,48.88,0.43
Feb,24/02/2014,ch01,shade,mid,11.5,80.1,0.59
Feb,24/02/2014,ch02,sun,pre,2.4,34.25,0.25
Feb,24/02/2014,ch02,shade,pre,3.7,45.9,0.48
Feb,24/02/2014,ch02,sun,mid,16.9,54.33,0.55
Feb,24/02/2014,ch02,shade,mid,14.9,37.33,0.33
Feb,24/02/2014,ch03,sun,pre,4.6,36.32,0.29
Feb,24/02/2014,ch03,shade,pre,2.9,44.15,0.45
Feb,24/02/2014,ch03,sun,mid,13.1,40.22,0.36
Feb,24/02/2014,ch03,shade,mid,8.9,43.45,0.45
Feb,24/02/2014,ch04,sun,pre,5.3,32.79,0.29
Feb,24/02/2014,ch04,shade,pre,5.3,33.89,0.43
Feb,24/02/2014,ch04,sun,mid,28.2,43.45,0.83
Feb,24/02/2014,ch04,shade,mid,14.7,55.98,0.36
Feb,24/02/2014,ch05,sun,pre,2.5,40.08,0.5
Feb,24/02/2014,ch05,shade,pre,2.2,37.76,0.44
Feb,24/02/2014,ch05,sun,mid,19.2,36.25,0.36
Feb,24/02/2014,ch05,shade,mid,21.2,40.68,0.58
Feb,24/02/2014,ch06,sun,pre,6.6,39.9,0.33
Feb,24/02/2014,ch06,shade,pre,6.1,29.17,0.25
Feb,24/02/2014,ch06,sun,mid,21.7,45.16,0.38
Feb,24/02/2014,ch06,shade,mid,14.7,24.67,0.21
Feb,24/02/2014,ch07,sun,pre,2.4,55.49,0.69
Feb,24/02/2014,ch07,shade,pre,1.9,58.61,0.7
Feb,24/02/2014,ch07,sun,mid,14.6,45.99,0.49
Feb,24/02/2014,ch07,shade,mid,9.2,49.04,0.68
Feb,24/02/2014,ch08,sun,pre,4.6,63.55,0.63
Feb,24/02/2014,ch08,shade,pre,3.6,50.12,0.5
Feb,24/02/2014,ch08,sun,mid,10.1,45.07,0.38
Feb,24/02/2014,ch08,shade,mid,8.9,50.23,0.66
Feb,24/02/2014,ch09,sun,pre,2.2,37.12,0.43
Feb,24/02/2014,ch09,shade,pre,2.4,60.99,0.55
Feb,24/02/2014,ch09,sun,mid,12.6,55.22,0.61
Feb,24/02/2014,ch09,shade,mid,16.9,52.56,0.54
Feb,24/02/2014,ch10,sun,pre,1.7,29.77,0.26
Feb,24/02/2014,ch10,shade,pre,1.5,25.38,0.31
Feb,24/02/2014,ch10,sun,mid,14.2,45.76,0.41
Feb,24/02/2014,ch10,shade,mid,20.9,33.84,0.36
Feb,24/02/2014,ch11,sun,pre,3.1,38.97,0.42
Feb,24/02/2014,ch11,shade,pre,3.2,29.39,0.34
Feb,24/02/2014,ch11,sun,mid,18.1,40.25,0.61
Feb,24/02/2014,ch11,shade,mid,14.9,45.82,0.54
Feb,24/02/2014,ch12,sun,pre,2.2,50.22,0.48
Feb,24/02/2014,ch12,shade,pre,1.6,35.09,0.38
Feb,24/02/2014,ch12,sun,mid,13.4,53.67,0.64
Feb,24/02/2014,ch12,shade,mid,12.7,41.36,0.48
Mar,30/03/2014,ch01,sun,pre,4.2,53.73,0.43
Mar,30/03/2014,ch01,shade,pre,3,46.62,0.42
Mar,30/03/2014,ch01,sun,mid,26,31.99,0.28
Mar,30/03/2014,ch01,shade,mid,19.1,59.16,0.52
Mar,30/03/2014,ch02,sun,pre,2.9,49.62,0.52
Mar,30/03/2014,ch02,shade,pre,1.8,38.94,0.39
Mar,30/03/2014,ch02,sun,mid,24.1,37.65,0.43
Mar,30/03/2014,ch02,shade,mid,15.1,32.74,0.24
Mar,30/03/2014,ch03,sun,pre,2.5,52.34,0.48
Mar,30/03/2014,ch03,shade,pre,1.8,43.07,0.38
Mar,30/03/2014,ch03,sun,mid,16.1,46.24,0.4
Mar,30/03/2014,ch03,shade,mid,8.8,47.67,0.48
Mar,30/03/2014,ch04,sun,pre,5.1,35.46,0.4
Mar,30/03/2014,ch04,shade,pre,4.4,50.72,0.51
Mar,30/03/2014,ch04,sun,mid,14.7,38.21,0.44
Mar,30/03/2014,ch04,shade,mid,11.1,52.8,0.58
Mar,30/03/2014,ch05,sun,pre,1.7,46.58,0.63
Mar,30/03/2014,ch05,shade,pre,1.3,39.63,0.42
Mar,30/03/2014,ch05,sun,mid,19.1,44.75,0.67
Mar,30/03/2014,ch05,shade,mid,15.8,49.66,0.64
Mar,30/03/2014,ch06,sun,pre,7.9,29.53,0.27
Mar,30/03/2014,ch06,shade,pre,6.8,44.18,0.38
Mar,30/03/2014,ch06,sun,mid,23.3,44.1,0.41
Mar,30/03/2014,ch06,shade,mid,18.8,33.58,0.3
Mar,30/03/2014,ch07,sun,pre,1.9,46.69,0.62
Mar,30/03/2014,ch07,shade,pre,1.4,53.24,0.64
Mar,30/03/2014,ch07,sun,mid,21.5,53.63,0.63
Mar,30/03/2014,ch07,shade,mid,11.4,55.38,0.79
Mar,30/03/2014,ch08,sun,pre,4.2,45,0.5
Mar,30/03/2014,ch08,shade,pre,3.2,52.81,0.55
Mar,30/03/2014,ch08,sun,mid,23.8,58.81,0.61
Mar,30/03/2014,ch08,shade,mid,22.5,56.77,0.7
Mar,30/03/2014,ch09,sun,pre,3.6,52.02,0.49
Mar,30/03/2014,ch09,shade,pre,3.4,47.78,0.54
Mar,30/03/2014,ch09,sun,mid,10.9,49.89,0.46
Mar,30/03/2014,ch09,shade,mid,11.9,52.15,0.51
Mar,30/03/2014,ch10,sun,pre,2.5,49.75,0.41
Mar,30/03/2014,ch10,shade,pre,1.1,29.07,0.4
Mar,30/03/2014,ch10,sun,mid,17.2,51.82,0.52
Mar,30/03/2014,ch10,shade,mid,15.8,28.12,0.3
Mar,30/03/2014,ch11,sun,pre,2.8,45.25,0.57
Mar,30/03/2014,ch11,shade,pre,2.5,57.67,0.66
Mar,30/03/2014,ch11,sun,mid,17.1,42.68,0.57
Mar,30/03/2014,ch11,shade,mid,13.4,50.69,0.64
Mar,30/03/2014,ch12,sun,pre,1.3,31.46,0.44
Mar,30/03/2014,ch12,shade,pre,1.4,51.62,0.58
Mar,30/03/2014,ch12,sun,mid,11.5,43.99,0.68
Mar,30/03/2014,ch12,shade,mid,8.5,51.44,0.56
Apr,21/04/2014,ch01,sun,pre,7.6,53,0.62
Apr,21/04/2014,ch01,shade,pre,4.2,44.35,0.45
Apr,21/04/2014,ch01,sun,mid,15.9,61.21,0.8
Apr,21/04/2014,ch01,shade,mid,9.1,51.22,0.51
Apr,21/04/2014,ch02,sun,pre,6.1,62.17,0.78
Apr,21/04/2014,ch02,shade,pre,3.9,40.26,0.39
Apr,21/04/2014,ch02,sun,mid,17.6,37.63,0.44
Apr,21/04/2014,ch02,shade,mid,12.8,47.55,0.54
Apr,21/04/2014,ch03,sun,pre,5.8,42.35,0.52
Apr,21/04/2014,ch03,shade,pre,5.1,34.99,0.39
Apr,21/04/2014,ch03,sun,mid,24.2,49.34,0.66
Apr,21/04/2014,ch03,shade,mid,12.6,48.84,0.54
Apr,21/04/2014,ch04,sun,pre,4.6,40.85,0.55
Apr,21/04/2014,ch04,shade,pre,3.2,33.94,0.36
Apr,21/04/2014,ch04,sun,mid,19.6,40.88,0.66
Apr,21/04/2014,ch04,shade,mid,15.6,48.77,0.58
Apr,21/04/2014,ch05,sun,pre,2.6,50.24,0.76
Apr,21/04/2014,ch05,shade,pre,2.4,51.16,0.71
Apr,21/04/2014,ch05,sun,mid,15.9,46.52,0.75
Apr,21/04/2014,ch05,shade,mid,16,37.94,0.49
Apr,21/04/2014,ch06,sun,pre,6.5,43.76,0.52
Apr,21/04/2014,ch06,shade,pre,6.4,40.1,0.38
Apr,21/04/2014,ch06,sun,mid,24.9,31.07,0.38
Apr,21/04/2014,ch06,shade,mid,16.1,49.21,0.62
Apr,21/04/2014,ch07,sun,pre,3.2,48.05,0.74
Apr,21/04/2014,ch07,shade,pre,1.6,63.35,0.78
Apr,21/04/2014,ch07,sun,mid,21.6,42.93,0.72
Apr,21/04/2014,ch07,shade,mid,17.3,56.03,0.98
Apr,21/04/2014,ch08,sun,pre,4.4,60.6,0.77
Apr,21/04/2014,ch08,shade,pre,2.4,47.6,0.6
Apr,21/04/2014,ch08,sun,mid,21.8,37.58,0.45
Apr,21/04/2014,ch08,shade,mid,15.1,40.26,0.54
Apr,21/04/2014,ch09,sun,pre,11.8,61.99,0.89
Apr,21/04/2014,ch09,shade,pre,7.4,50.5,0.52
Apr,21/04/2014,ch09,sun,mid,19.9,39.82,0.57
Apr,21/04/2014,ch09,shade,mid,14.2,43.23,0.43
Apr,21/04/2014,ch10,sun,pre,2.9,47.04,0.43
Apr,21/04/2014,ch10,shade,pre,3.1,43.31,0.62
Apr,21/04/2014,ch10,sun,mid,21.2,35.5,0.36
Apr,21/04/2014,ch10,shade,mid,10.9,38.99,0.52
Apr,21/04/2014,ch11,sun,pre,4,49.36,0.82
Apr,21/04/2014,ch11,shade,pre,2.3,49.4,0.68
Apr,21/04/2014,ch11,sun,mid,12.1,43.61,0.74
Apr,21/04/2014,ch11,shade,mid,12.1,43.64,0.55
Apr,21/04/2014,ch12,sun,pre,3.1,47.72,0.77
Apr,21/04/2014,ch12,shade,pre,3.7,44.46,0.58
Apr,21/04/2014,ch12,sun,mid,17.5,43.17,0.7
Apr,21/04/2014,ch12,shade,mid,15.8,58.77,0.65
