flux_campaign,day,Date,time,RECORD,SiteOutput,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
6,day_2,20/04/2014,7:35:40 AM,55,17,150.5,478.2323,5.407205,19.99882,399.9932,426.8127,93.95632,202.9041,100,492.0857,5.441329,-10.91354
6,day_2,20/04/2014,7:36:00 AM,56,18,150.5,491.3375,5.550539,19.99946,399.9954,425.8267,86.43564,202.9618,100,505.3903,5.584021,-11.69732
6,day_2,20/04/2014,7:36:20 AM,57,5,150.5,478.8116,5.41392,20.00057,399.9997,425.3204,84.33874,202.9166,100,492.6642,5.447928,-10.87714
6,day_2,20/04/2014,7:36:40 AM,58,6,150.5,489.9867,5.536273,19.99842,400,425.8337,64.58452,202.9056,100,504.0226,5.569822,-11.53504
6,day_2,20/04/2014,7:37:00 AM,59,9,150.5,479.4696,5.420413,19.9967,399.9986,424.9273,79.21014,202.8867,100,493.3272,5.454332,-11.04527
6,day_2,20/04/2014,7:37:20 AM,60,10,150.5,490.1441,5.537951,20.00084,399.999,425.4651,62.24709,202.873,100,504.1804,5.571506,-11.54578
6,day_2,20/04/2014,7:37:40 AM,61,11,150.5,478.2477,5.407724,20.00405,399.9994,423.6169,101.4833,202.8836,100,492.0653,5.441476,-10.84603
6,day_2,20/04/2014,7:38:00 AM,62,12,150.5,481.5631,5.442557,19.99825,399.9996,423.5525,99.94711,202.8954,100,495.4525,5.476335,-11.31505
6,day_2,20/04/2014,7:38:20 AM,63,13,150.5,480.8134,5.435482,19.99568,399.9991,424.4606,76.00656,202.8516,100,494.6848,5.469252,-11.06138
6,day_2,20/04/2014,7:38:40 AM,64,14,150.5,489.9848,5.535244,20.00123,400.0014,423.5125,93.57657,202.8745,100,504.0168,5.568777,-11.70917
6,day_2,20/04/2014,7:39:00 AM,65,15,150.5,472.0363,5.337716,20.00364,400.0018,423.7765,83.75172,202.8316,100,485.7623,5.371828,-10.83624
6,day_2,20/04/2014,7:39:20 AM,66,16,150.5,477.8797,5.402566,20.00159,400.0006,423.2077,92.72913,202.9654,100,491.7034,5.43649,-11.02508
6,day_2,20/04/2014,7:39:40 AM,67,17,150.5,476.536,5.387843,19.99766,399.9986,422.9396,93.9523,202.7816,100,490.3344,5.421752,-10.95226
6,day_2,20/04/2014,7:40:00 AM,68,18,150.5,489.3862,5.527047,20.00891,400.0013,423.0456,86.46875,202.817,100,503.4159,5.560709,-11.96316
6,day_2,20/04/2014,7:40:20 AM,69,5,150.5,473.3636,5.352133,20.00272,400.0001,423.095,84.32981,202.7734,100,487.1163,5.386209,-10.94495
6,day_2,20/04/2014,7:40:40 AM,70,6,150.5,489.0853,5.523455,19.99837,400.0006,423.9225,64.58882,202.7448,100,503.1021,5.557015,-12.00363
6,day_2,20/04/2014,7:41:00 AM,71,9,150.5,476.6759,5.387861,19.99974,400.0005,423.2441,79.24213,202.7338,100,490.4739,5.421747,-11.23456
6,day_2,20/04/2014,7:41:20 AM,72,10,150.5,489.139,5.524842,20.00233,400.0016,423.9579,62.28981,202.6876,100,503.1575,5.558458,-11.85589
6,day_2,20/04/2014,7:41:40 AM,73,11,150.5,477.4005,5.396585,20.00438,400.0015,422.1974,101.4872,202.6824,100,491.2135,5.430516,-11.1265
6,day_2,20/04/2014,7:42:00 AM,74,12,150.5,480.5169,5.429278,20.0019,400.0008,422.1945,99.90759,202.7045,100,494.3857,5.463063,-11.58296
6,day_2,20/04/2014,7:42:20 AM,75,13,150.5,481.5316,5.442402,19.99894,400.0005,423.1105,76.02882,202.6442,100,495.4252,5.476257,-11.27457
6,day_2,20/04/2014,7:42:40 AM,76,14,150.5,488.5271,5.517534,19.99756,399.9979,422.2567,93.57131,202.6597,100,502.5316,5.551109,-11.93334
6,day_2,20/04/2014,7:43:00 AM,77,15,150.5,479.792,5.423876,19.99659,399.9999,422.6498,83.75327,202.6312,100,493.6502,5.457746,-11.0738
6,day_2,20/04/2014,7:43:20 AM,78,16,150.5,477.815,5.400808,19.99602,400.0014,422.1734,92.71185,202.7704,100,491.6405,5.434708,-11.22255
6,day_2,20/04/2014,7:43:40 AM,79,3,150.5,755.4734,8.311475,19.99866,400.0132,439.9483,129.3563,202.4071,100,774.0715,8.337896,-36.51429
6,day_2,20/04/2014,7:44:00 AM,80,4,150.5,311.8019,3.44034,20.00651,399.9996,441.4901,142.0078,202.7018,100,322.7726,3.479248,-35.81881
6,day_2,20/04/2014,7:44:20 AM,81,17,150.5,479.6653,5.423029,19.99576,400.1275,424.2612,93.9788,202.5657,100,493.1768,5.453888,-10.82417
6,day_2,20/04/2014,7:44:40 AM,82,18,150.5,485.2039,5.480373,19.99857,399.9959,423.217,86.52906,202.5795,100,498.8047,5.511111,-11.72323
6,day_2,20/04/2014,7:45:00 AM,83,5,150.5,470.9598,5.326434,19.99981,399.9985,422.6471,84.37632,202.5069,100,484.3153,5.357459,-10.53476
6,day_2,20/04/2014,7:45:20 AM,84,6,150.5,486.3132,5.494769,20.00294,399.9991,423.0998,64.61398,202.5011,100,499.9379,5.525514,-11.38651
6,day_2,20/04/2014,7:45:40 AM,85,9,150.5,466.381,5.275084,20.00046,399.9994,422.2182,79.28828,202.4642,100,479.6843,5.306437,-10.4963
6,day_2,20/04/2014,7:46:00 AM,86,10,150.5,486.7054,5.500423,19.99901,400.004,422.7498,62.35379,202.4437,100,500.3301,5.531062,-11.16964
6,day_2,20/04/2014,7:46:20 AM,87,11,150.5,477.2923,5.398983,20.00169,400.003,420.9063,101.5104,202.3884,100,490.7531,5.429813,-10.32691
6,day_2,20/04/2014,7:46:40 AM,88,12,150.5,477.6118,5.399807,19.99854,400.0007,420.7733,99.87863,202.4385,100,491.0752,5.430592,-10.83412
6,day_2,20/04/2014,7:47:00 AM,89,13,150.5,455.2723,5.151942,20.00402,400.0001,421.6506,76.12029,202.3367,100,468.3013,5.182656,-10.08698
6,day_2,20/04/2014,7:47:20 AM,90,14,150.5,486.6058,5.500264,20.00061,400.0003,420.7807,93.63501,202.3445,100,500.2311,5.530959,-10.99227
6,day_2,20/04/2014,7:47:40 AM,91,15,150.5,471.9066,5.33884,19.99898,400.0007,421.0994,83.79059,202.3284,100,485.2985,5.370073,-10.2144
6,day_2,20/04/2014,7:48:00 AM,92,16,150.5,477.5966,5.401169,20.00008,400.0038,420.5402,92.7057,202.4746,100,491.0811,5.432194,-10.55427
6,day_2,20/04/2014,7:48:20 AM,93,17,150.5,464.3793,5.254418,20.00283,400.0184,420.3235,93.99654,202.2648,100,477.6062,5.285379,-10.13459
6,day_2,20/04/2014,7:48:40 AM,94,18,150.5,483.9498,5.468617,20.0032,400.0022,420.4993,86.57345,202.2697,100,497.5324,5.499405,-11.30059
6,day_2,20/04/2014,7:49:00 AM,95,5,150.5,452.0781,5.117003,20.00228,400.0032,420.486,84.40807,202.2093,100,465.197,5.149371,-9.881242
6,day_2,20/04/2014,7:49:20 AM,96,6,150.5,483.5203,5.466076,19.99425,400.0074,421.2251,64.64527,202.1934,100,497.0968,5.496879,-10.88889
6,day_2,20/04/2014,7:49:40 AM,97,9,150.5,470.525,5.323511,20.00594,400.0021,420.4368,79.32695,202.1669,100,483.8672,5.354468,-10.17118
6,day_2,20/04/2014,7:50:00 AM,98,10,150.5,484.8303,5.481207,19.99727,400.0014,421.1058,62.42145,202.1316,100,498.4257,5.511916,-10.82738
6,day_2,20/04/2014,7:50:20 AM,99,11,150.5,460.0116,5.205531,20.00965,400.0007,419.2744,101.4702,202.1264,100,473.4282,5.239474,-10.07124
6,day_2,20/04/2014,7:50:40 AM,100,12,150.5,474.5791,5.36608,20.00982,400.0011,419.2136,99.90038,202.1333,100,488.0077,5.397132,-10.74949
6,day_2,20/04/2014,7:51:00 AM,101,13,150.5,447.4101,5.063594,19.99901,400.0028,420.2364,76.12189,202.0316,100,460.4172,5.095761,-10.01767
6,day_2,20/04/2014,7:51:20 AM,102,14,150.5,486.1217,5.494781,20.00345,400.0042,419.5193,93.58179,202.0818,100,499.7395,5.525548,-10.98801
6,day_2,20/04/2014,7:51:40 AM,103,15,150.5,473.1903,5.352746,19.99764,400.0018,419.9018,83.76722,202.0322,100,486.6019,5.383848,-10.33351
6,day_2,20/04/2014,7:52:00 AM,104,16,150.5,477.624,5.39952,20.00061,400.0013,419.4396,92.66912,202.1894,100,491.107,5.430542,-10.90754
6,day_2,20/04/2014,7:52:20 AM,105,3,150.5,755.659,8.314822,20.00328,400.0139,437.1479,129.4176,201.7569,100,773.6025,8.336788,-36.05816
6,day_2,20/04/2014,7:52:40 AM,106,4,150.5,311.7976,3.440248,20.00048,400.0042,438.8241,141.0378,202.0248,100,322.6146,3.477263,-35.89707
6,day_2,20/04/2014,7:53:00 AM,107,17,150.5,461.6223,5.222226,19.99661,399.9956,421.6371,93.99138,201.9383,100,474.8158,5.252921,-10.43211
6,day_2,20/04/2014,7:53:20 AM,108,18,150.5,478.6198,5.405679,20.00372,400.0022,420.6462,86.61105,201.9132,100,492.0445,5.4353,-11.927
6,day_2,20/04/2014,7:53:40 AM,109,5,150.5,444.8031,5.031989,20.0001,400.0384,420.1498,84.43169,201.889,100,457.6869,5.062915,-10.53126
6,day_2,20/04/2014,7:54:00 AM,110,6,150.5,480.1943,5.424973,20.00374,400.144,420.6559,64.5746,201.9821,100,493.644,5.454555,-11.63934
6,day_2,20/04/2014,7:54:20 AM,111,9,150.5,466.5234,5.274918,19.99923,400.002,419.7852,79.32323,201.8338,100,479.7755,5.305234,-10.90871
6,day_2,20/04/2014,7:54:40 AM,112,10,150.5,481.8232,5.443658,19.99933,400.004,420.346,62.48933,201.7821,100,495.3037,5.473203,-11.58375
6,day_2,20/04/2014,7:55:00 AM,113,11,150.5,452.9895,5.122946,20.001,400.0087,418.5607,101.4768,201.7698,100,466.0246,5.153764,-10.7965
6,day_2,20/04/2014,7:55:20 AM,114,12,150.5,471.5127,5.327152,20.00287,400.0063,418.4891,99.92024,201.7808,100,484.8321,5.357145,-11.64728
6,day_2,20/04/2014,7:55:40 AM,115,13,150.5,450.1362,5.090456,20.002,400.006,419.4434,76.18501,201.6722,100,463.1184,5.12133,-10.8536
6,day_2,20/04/2014,7:56:00 AM,116,14,150.5,485.0258,5.478056,19.99305,399.996,418.6239,93.64014,201.7178,100,498.5516,5.507418,-11.88444
6,day_2,20/04/2014,7:56:20 AM,117,15,150.5,460.4696,5.206346,20.00083,399.995,418.986,83.78689,201.6857,100,473.6466,5.237095,-10.97779
6,day_2,20/04/2014,7:56:40 AM,118,16,150.5,476.8383,5.386731,19.99761,399.9951,418.5478,92.73374,201.831,100,490.24,5.416515,-11.71751
6,day_2,20/04/2014,7:57:00 AM,119,17,150.5,451.5846,5.106279,19.99389,400.0087,418.4031,94.04646,201.6182,100,464.5845,5.137001,-10.95786
6,day_2,20/04/2014,7:57:20 AM,120,18,150.5,478.8764,5.405974,19.9963,399.993,418.6282,86.68813,201.5742,100,492.3092,5.435619,-12.40031
6,day_2,20/04/2014,7:57:40 AM,121,5,150.5,449.8669,5.088496,19.99666,400.0069,418.6905,84.52404,201.5233,100,462.8618,5.119612,-10.63705
6,day_2,20/04/2014,7:58:00 AM,122,6,150.5,477.8614,5.397513,20.00034,400.0074,419.5542,64.78403,201.5137,100,491.2741,5.427176,-11.85663
6,day_2,20/04/2014,7:58:20 AM,123,9,150.5,455.976,5.156694,19.99962,399.9943,418.9744,79.44128,201.463,100,469.0352,5.187109,-10.78688
6,day_2,20/04/2014,7:58:40 AM,124,10,150.5,479.5463,5.418093,19.99828,400.0097,419.782,62.58046,201.4386,100,492.9879,5.447723,-11.56359
6,day_2,20/04/2014,7:59:00 AM,125,11,150.5,447.4018,5.060825,19.99615,399.9983,418.1518,101.5022,201.4326,100,460.3386,5.091745,-10.62901
6,day_2,20/04/2014,7:59:20 AM,126,12,150.5,466.042,5.266367,20.00256,399.9885,418.2641,99.94314,201.4721,100,479.2836,5.296659,-11.49397
6,day_2,20/04/2014,7:59:40 AM,127,13,150.5,439.9145,4.976578,19.99956,399.9823,419.3397,76.24625,201.3403,100,452.7511,5.007979,-10.5979
