flux_campaign,day,Date,time,RECORD,SiteOutput,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
2,day_2,7/12/2013,11:44:20 AM,184,3,150.5,765.9728,8.34044,20.00454,400.0111,457.1017,142.7753,198.3072,100,773.1038,8.33397,-35.76239
2,day_2,7/12/2013,11:44:40 AM,185,4,150.5,315.4667,3.44695,19.99663,400.0035,458.1853,123.2603,198.5506,100,322.4411,3.47691,-35.47606
2,day_2,7/12/2013,11:45:00 AM,186,5,150.5,379.9757,4.265891,19.99713,399.993,440.2828,87.59713,198.3669,100,387.1769,4.290127,-8.870041
2,day_2,7/12/2013,11:45:20 AM,187,6,150.5,381.0004,4.260409,19.99705,399.9953,440.2972,66.57795,198.5173,100,388.188,4.284496,-12.74882
2,day_2,7/12/2013,11:45:40 AM,188,13,150.5,379.3399,4.259072,20.00112,399.9957,439.3016,77.3379,198.4641,100,386.5214,4.283123,-8.809731
2,day_2,7/12/2013,11:46:00 AM,189,14,150.5,386.6318,4.321941,19.99935,399.9998,438.1833,95.34444,198.5042,100,393.8353,4.345741,-12.99553
2,day_2,7/12/2013,11:46:20 AM,190,15,150.5,379.1154,4.256248,19.99622,399.9986,438.4744,86.06341,198.5478,100,386.3281,4.280721,-8.870161
2,day_2,7/12/2013,11:46:40 AM,191,16,150.5,388.6825,4.346262,19.99888,399.9981,438.0262,94.93373,198.7011,100,395.8839,4.369798,-12.66767
2,day_2,7/12/2013,11:47:00 AM,192,11,150.5,379.5857,4.261539,20.00079,400.0009,437.6197,103.0366,198.6389,100,386.7853,4.285778,-8.872216
2,day_2,7/12/2013,11:47:20 AM,193,12,150.5,392.6082,4.384056,19.99884,400.0007,437.678,100.9541,199.0171,100,399.8091,4.407274,-13.9764
2,day_2,7/12/2013,11:47:40 AM,194,7,150.5,379.3501,4.25896,20.0012,400.0024,438.3457,86.2541,199.3018,100,386.5045,4.282733,-8.856616
2,day_2,7/12/2013,11:48:00 AM,195,8,150.5,375.4004,4.198022,20.00224,400.002,438.985,70.63518,199.967,100,382.5909,4.222741,-12.74431
2,day_2,7/12/2013,11:48:20 AM,196,9,150.5,375.4524,4.214642,20.00225,399.9996,438.5858,81.04737,198.4373,100,382.6395,4.239146,-9.034495
2,day_2,7/12/2013,11:48:40 AM,197,10,150.5,387.0025,4.331102,19.99592,400.0005,440.2278,47.1847,198.4362,100,394.1997,4.354774,-11.85816
2,day_2,7/12/2013,11:49:00 AM,198,5,150.5,380.0904,4.266639,20.00119,399.9996,438.2851,87.56149,198.2917,100,387.2773,4.290688,-8.997185
2,day_2,7/12/2013,11:49:20 AM,199,6,150.5,381.2393,4.262183,20.00043,399.9997,439.2404,66.67725,198.3551,100,388.4239,4.286279,-12.93809
2,day_2,7/12/2013,11:49:40 AM,200,13,150.5,377.6634,4.23964,20.00102,399.9991,438.7464,77.37865,198.3157,100,384.8543,4.26401,-8.958545
2,day_2,7/12/2013,11:50:00 AM,201,14,150.5,386.832,4.323982,19.99938,399.999,437.9314,95.35763,198.3769,100,394.037,4.347741,-13.04699
2,day_2,7/12/2013,11:50:20 AM,202,15,150.5,379.0889,4.255821,19.99733,400,438.3741,86.06396,198.3644,100,386.2678,4.279866,-8.913331
2,day_2,7/12/2013,11:50:40 AM,203,16,150.5,388.7664,4.347079,19.99975,399.9985,438.0128,95.01589,198.5078,100,395.9708,4.370653,-12.69088
2,day_2,7/12/2013,11:51:00 AM,204,11,150.5,376.4243,4.22644,20.00448,399.9988,437.6364,103.0067,198.5432,100,383.6305,4.250985,-8.834049
2,day_2,7/12/2013,11:51:20 AM,205,12,150.5,391.2742,4.368989,20.00107,399.9999,437.6839,100.9597,198.915,100,398.4756,4.392332,-14.03078
2,day_2,7/12/2013,11:51:40 AM,206,7,150.5,379.097,4.255999,20.00172,400.0027,438.4239,86.35961,199.1712,100,386.3167,4.280509,-8.890277
2,day_2,7/12/2013,11:52:00 AM,207,8,150.5,375.7442,4.200504,20.00723,399.9998,439.094,70.68894,199.9447,100,382.9425,4.225206,-13.07477
2,day_2,7/12/2013,11:52:20 AM,208,9,150.5,379.4506,4.25849,20.00377,400.001,438.6685,81.06945,198.4527,100,386.6741,4.283004,-9.228716
2,day_2,7/12/2013,11:52:40 AM,209,10,150.5,386.1591,4.322148,19.99666,399.998,440.3271,47.14915,198.4429,100,393.3589,4.345887,-11.76711
2,day_2,7/12/2013,11:53:00 AM,210,3,150.5,766.3058,8.341618,19.99499,400.0088,457.2781,142.8177,198.2901,100,773.7478,8.334624,-36.48932
2,day_2,7/12/2013,11:53:20 AM,211,4,150.5,315.5177,3.446831,19.99454,400.0016,458.4041,123.0698,198.6075,100,322.6752,3.477268,-36.07648
2,day_2,7/12/2013,11:53:40 AM,212,5,150.5,379.349,4.258269,19.9972,399.9967,440.5087,87.55468,198.3361,100,386.4433,4.282311,-8.797805
2,day_2,7/12/2013,11:54:00 AM,213,6,150.5,379.1376,4.238331,20.00059,399.9986,440.4622,66.61176,198.4113,100,386.2444,4.262629,-12.84513
2,day_2,7/12/2013,11:54:20 AM,214,13,150.5,380.133,4.265795,20.0001,399.9962,439.3944,77.32489,198.3679,100,387.2459,4.289938,-9.090287
