flux_campaign,day,Date,TIMESTAMP,RECORD,SiteOutput,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
4,2,23/02/2014,7:08:40 AM,76,8,150.5,451.5022,5.070181,20.0034,400.0001,443.4947,74.50884,197.0206,100,460.614,5.093021,-10.97266
4,2,23/02/2014,7:09:00 AM,77,11,150.5,414.0312,4.657749,19.99955,399.9839,442.0081,107.3248,195.847,100,422.886,4.682627,-9.541783
4,2,23/02/2014,7:09:20 AM,78,12,150.5,443.5911,4.98303,19.99887,400.0017,442.1345,105.4001,195.946,100,452.6495,5.006384,-10.69071
4,2,23/02/2014,7:09:40 AM,79,3,150.5,761.475,8.320188,20.00203,400.0183,461.5525,140.0789,195.5046,100,772.6651,8.326718,-36.05441
4,2,23/02/2014,7:10:00 AM,80,4,150.5,313.6852,3.438598,19.99836,400.0032,462.8584,141.3452,195.7863,100,321.8766,3.469702,-35.7878
4,2,23/02/2014,7:10:20 AM,81,13,150.5,413.157,4.647788,19.9969,399.9943,445.3357,81.40903,195.8575,100,422.7686,4.680337,-9.751077
4,2,23/02/2014,7:10:40 AM,82,14,150.5,436.6801,4.906257,20.00083,399.9962,443.5992,98.74004,195.8912,100,446.439,4.937357,-10.75838
4,2,23/02/2014,7:11:00 AM,83,17,150.5,418.1979,4.703786,19.99833,399.9938,443.0204,100.1027,195.9215,100,427.8799,4.736381,-9.864445
4,2,23/02/2014,7:11:20 AM,84,18,150.5,457.5801,5.137858,19.9996,399.9989,443.1194,91.94266,195.9548,100,467.4802,5.167738,-11.20284
4,2,23/02/2014,7:11:40 AM,85,5,150.5,415.1346,4.670623,20.0033,399.9994,443.0216,90.39702,195.8764,100,424.7588,4.703058,-9.606004
4,2,23/02/2014,7:12:00 AM,86,6,150.5,433.6282,4.87305,20.00559,399.9998,443.8702,70.17632,195.8649,100,443.3661,4.904314,-10.56853
4,2,23/02/2014,7:12:20 AM,87,9,150.5,408.3118,4.59502,20.00323,399.9995,443.1554,84.38247,195.9117,100,417.8846,4.627789,-9.425689
4,2,23/02/2014,7:12:40 AM,88,10,150.5,440.5874,4.950954,20.00232,400,444.5424,54.87002,195.8569,100,450.3859,4.981857,-10.58975
4,2,23/02/2014,7:13:00 AM,89,7,150.5,414.8282,4.667567,19.99871,399.9974,442.7918,87.16885,198.1531,100,424.4354,4.699868,-9.52385
4,2,23/02/2014,7:13:20 AM,90,8,150.5,450.1123,5.055134,19.99958,400.0018,443.4162,74.4693,197.0567,100,459.9611,5.085433,-11.04448
4,2,23/02/2014,7:13:40 AM,91,11,150.5,413.0971,4.647871,20.00306,399.9836,441.9746,107.3167,195.8734,100,422.6903,4.68021,-9.594697
4,2,23/02/2014,7:14:00 AM,92,12,150.5,442.0468,4.966623,19.99742,399.9996,442.0557,105.4048,196.0119,100,451.8444,4.997406,-10.70543
4,2,23/02/2014,7:14:20 AM,93,13,150.5,411.3724,4.628981,19.99327,399.9992,443.1427,81.42297,195.8857,100,420.9591,4.6615,-9.497274
4,2,23/02/2014,7:14:40 AM,94,14,150.5,435.7502,4.896708,19.99558,399.9996,442.3647,98.7151,195.936,100,445.5034,4.927846,-10.59053
4,2,23/02/2014,7:15:00 AM,95,17,150.5,413.4221,4.652225,20.00056,400.0001,442.3252,100.1389,195.9265,100,422.9811,4.684128,-9.446333
4,2,23/02/2014,7:15:20 AM,96,18,150.5,455.9373,5.119998,20.0032,399.9996,442.7063,91.944,195.9908,100,465.8252,5.15,-11.09594
4,2,23/02/2014,7:15:40 AM,97,5,150.5,412.5222,4.642252,19.99961,399.9996,442.7379,90.37825,195.8923,100,422.1234,4.67481,-9.408728
4,2,23/02/2014,7:16:00 AM,98,6,150.5,432.759,4.864354,19.99596,399.9989,443.6421,70.15784,195.8846,100,442.4926,4.895656,-10.36549
4,2,23/02/2014,7:16:20 AM,99,9,150.5,405.2458,4.561527,20.00255,400,442.9897,84.39265,195.9075,100,414.8314,4.594826,-9.242362
4,2,23/02/2014,7:16:40 AM,100,10,150.5,439.2793,4.936595,19.99574,400,444.4375,54.93208,195.945,100,449.0565,4.967502,-10.52008
4,2,23/02/2014,7:17:00 AM,101,7,150.5,406.054,4.569773,20.00093,400,442.8069,87.16264,198.2356,100,415.6169,4.602673,-9.426323
4,2,23/02/2014,7:17:20 AM,102,8,150.5,448.747,5.040969,19.99799,400.0767,443.4436,74.3458,197.1599,100,458.5915,5.071346,-10.8385
4,2,23/02/2014,7:17:40 AM,103,11,150.5,411.6654,4.632752,20.00138,399.9998,441.9662,107.2559,195.946,100,421.2385,4.665044,-9.401811
4,2,23/02/2014,7:18:00 AM,104,12,150.5,440.5954,4.951095,20.00187,400.0018,442.0532,105.3916,196.0249,100,450.3834,4.981959,-10.56413
4,2,23/02/2014,7:18:20 AM,105,3,150.5,761.2233,8.318954,20.00114,400.022,461.502,140.1172,195.5246,100,773.1531,8.332174,-36.03163
