"chamber","id","pair_id","Ci","CO2R","c13","D","ci_bar","leaf","campaign","Month","temp","drydown"
"ch11","4-ch11-shade","r",203.116456806452,419.773244551613,-27.97,20.1310483870968,268.433870798782,"shade","4","Feb","ambient","control"
"ch11","2-ch11-sun","z",135.03644114,399.50281372,-26.52,18.6693548387097,231.733634472911,"sun","2","Dec","ambient","control"
"ch11","4-ch11-sun","r",155.470994812903,419.895240041935,-29.11,21.2802419354839,288.127367457965,"sun","4","Feb","ambient","control"
"ch12","5-ch12-sun","e",210.294016351613,420.310981993548,-28.26,20.4233870967742,273.772583963736,"sun","5","Mar","elevated","control"
"ch12","1-ch12-shade","ii",202.04483958,400.6270447,-30.6,22.7822580645161,299.367061922758,"shade","1","Oct","elevated","control"
"ch12","5-ch12-shade","e",284.252893248387,419.567479290323,-32.7,24.8991935483871,349.625811568342,"shade","5","Mar","elevated","control"
"ch12","4-ch12-sun","p",204.000953212903,419.342971309677,-28.07,20.2318548387097,269.877115829594,"sun","4","Feb","elevated","control"
"ch12","3-ch12-shade","v",274.683769057143,420.036594928571,-30.32,22.5,309.051315780778,"shade","3","Jan","elevated","control"
"ch12","3-ch12-sun","v",195.6268557,419.739663257143,-29.39,21.5625,292.836665473606,"sun","3","Jan","elevated","control"
"ch12","4-ch12-shade","p",286.631632925806,420.501539664516,-30.08,22.258064516129,305.257870913029,"shade","4","Feb","elevated","control"
"ch12","2-ch12-shade","z",322.320452266667,399.640909833333,-30.21,22.3891129032258,292.243310883728,"shade","2","Dec","elevated","control"
"ch12","2-ch12-sun","z",178.20205294,399.71759644,-29.66,21.8346774193548,283.29054279558,"sun","2","Dec","elevated","control"
"ch12","6-ch12-shade","h",252.359213681579,420.038065057895,-32.06,24.2540322580645,339.002003791644,"shade","6","Apr","elevated","control"
"ch12","6-ch12-sun","h",166.037553355263,420.149470276316,-28.23,20.3931451612903,273.15087266538,"sun","6","Apr","elevated","control"
"ch12","1-ch12-sun","ii",158.75713946,399.5619629,-27.39,19.5463709677419,246.012752629372,"sun","1","Oct","elevated","control"
