"Month","chamber","leaf","drydown","light","Trmmol","Cond","leaflight","mid","pre","temp","pre_mp","mid_mp","wpdiff","leafK"
"Jan","ch07","sun","control","high",0.8903449776,0.077374529,"sun-high",14.8,3.5,"ambient",-0.35,-1.48,1.13,0.787915909380531
"Jan","ch08","shade","control","low",2.3427638806,0.1727236562,"shade-low",12.8,3.8,"elevated",-0.38,-1.28,0.9,2.60307097844444
"Jan","ch08","sun","control","high",0.6998315254,0.0405031784,"sun-high",13.8,3.5,"elevated",-0.35,-1.38,1.03,0.679448082912621
"Jan","ch09","shade","control","low",1.9163621912,0.1152117868,"shade-low",12.8,3.5,"ambient",-0.35,-1.28,0.93,2.06060450666667
"Jan","ch09","sun","control","high",1.8617252842,0.0929682162,"sun-high",21.8,4.5,"ambient",-0.45,-2.18,1.73,1.07614178277457
"Jan","ch10","shade","control","low",1.91505641542857,0.175272807142857,"shade-low",14.3,2.6,"elevated",-0.26,-1.43,1.17,1.63680035506715
"Jan","ch10","sun","control","high",2.08403473371429,0.143412157857143,"sun-high",13.8,2.5,"elevated",-0.25,-1.38,1.13,1.84427852541087
"Jan","ch11","shade","control","low",2.17097220357143,0.0868094567142857,"shade-low",9.8,1.5,"ambient",-0.15,-0.98,0.83,2.61562916092943
"Jan","ch11","sun","control","high",1.65216629514286,0.0665095901428572,"sun-high",14.8,2,"ambient",-0.2,-1.48,1.28,1.29075491808036
"Jan","ch12","shade","control","low",2.59760521771429,0.157932996285714,"shade-low",19.2,2.7,"elevated",-0.27,-1.92,1.65,1.57430619255411
"Jan","ch12","sun","control","high",1.09827482914286,0.0520535234285714,"sun-high",16.5,2.8,"elevated",-0.28,-1.65,1.37,0.801660459228363
"Mar","ch02","shade","control","low",2.89658038351613,0.196115738354839,"shade-low",15.1,1.8,"elevated",-0.18,-1.51,1.33,2.17787998760611
"Mar","ch02","sun","control","high",3.76130101983871,0.193307745612903,"sun-high",24.1,2.9,"elevated",-0.29,-2.41,2.12,1.77419859426354
"Mar","ch05","shade","control","low",2.141097488,0.179686324096774,"shade-low",15.8,1.3,"ambient",-0.13,-1.58,1.45,1.47661895724138
"Mar","ch05","sun","control","high",2.09907826654839,0.15126618516129,"sun-high",19.1,1.7,"ambient",-0.17,-1.91,1.74,1.20636681985539
