"id","chamber","licor","Obs","FTime","O2","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","fda","Trans","Tair_K","Twall_K","R.W.m2.","Tl.Ta","SVTleaf","h2o_i","h20diff","CTair","SVTair","CndTotal","vp_kPa","VpdA","CndCO2","Ci_Pa","Ci.Ca","RHsfc","C2sfc","AHs.Cs","datetime","xsi","DELTA","CiCa","a_prime","Rd","Gstar","rd_term","f_term","TleafminusTair","TblockminusTair","CO2Rdry","CO2Sdry","t","t2","t3","Di","DiminusDo","rd_term2","f_term2","gm","gm_bar","campaign","leaf","light","temp","leaflight","pair_id"
"1-ch01-sun-high","ch01","H4",31,10726.5,21,0,10.67817562,0.074719228,137.5666708,1.222587906,1.672417732,23.31034279,6,1.420000017,1,2.840000033,19.34049225,23.31034279,17.58908463,400.6269836,378.2793579,9.391288757,11.81476688,42.3718071,53.30610657,299.1097717,1074.228271,9.732394218,101.6275864,0.654617548,0.164705306,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498516286,0.001222588,296.4603428,292.4904922,171.8765196,0.881958185,2.873123974,28.27110312,16.45633624,21.32541752,2.546285015,0.072803791,1.200706242,1.345578773,0.045670668,13.98056872,0.363664228,42.1231397,373.2034646,0.012052361,2013-10-26 11:59:15,18.3812435849342,8.96881508068013,0.343378445365406,4.36836959430046,0.727889666008722,38.8883340871408,0.499413333024075,1.66541207986882,3.96985054,-1.75140762,404.425056082234,382.802075179425,0.0134432960542085,1.01362648087073,1.02725296174146,13.1368105886671,4.16799550798696,0.527839628717387,-0.638159118127359,0.171380316815656,0.168635626296499,1,"sun","high","ambient","sun-high","ee"
"1-ch02-shade-high","ch02","H4",16,5763.5,21,0,14.7347478,0.140179499,187.0430357,1.816861552,1.352761466,23.76739311,6,1.420000017,1,2.840000033,21.56061363,23.76739311,20.93863678,399.2282715,368.3344421,12.14598751,15.73251629,47.83655167,61.96197128,299.1657715,899.9064331,164.1944427,101.7396011,-0.073684454,0.078791648,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498609619,0.001816862,296.9173931,294.7106136,143.9850261,0.46572221,2.953381398,29.02882815,13.29631186,22.66400337,2.762885962,0.133585838,1.600619932,1.16226603,0.084059527,19.02968385,0.507807618,55.35140194,361.3302487,0.022571843,2013-10-26 10:36:32,12.8410932444778,12.9430730137247,0.468511498439809,4.34204750071375,0.727922536547605,38.8888304123706,0.568059171254737,1.71039951922108,2.20677948,-0.621976849999999,404.136913402517,374.221894145722,0.0108539181475587,1.01097301839101,1.02194603678201,16.2180818861167,3.27500887239201,0.453886865527276,-0.688453482439066,0.300390806362681,0.295254554878219,1,"shade","high","elevated","shade-high","ee"
"1-ch02-shade-high","ch02","H4",15,5683,21,0,14.86055546,0.13710759,181.8884962,1.775701577,1.35046404,23.71655846,6,1.420000017,1,2.840000033,21.04594803,23.71655846,20.15102386,399.5307007,368.4122009,12.16047668,15.66627026,49.42945862,63.67967987,299.1419067,899.8078613,175.2062988,101.7405548,-0.073684454,0.078791648,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498569845,0.001775702,296.8665585,294.195948,143.9692546,0.426716788,2.944359068,28.93987627,13.27360602,22.38125324,2.715836433,0.130793243,1.593895028,1.121941405,0.082290561,18.50543652,0.493709209,55.24806552,361.3482046,0.022720936,2013-10-26 10:35:12,12.9164646390432,10.8819897520409,0.455255368063884,4.34319223678812,0.727918885506775,38.888775284659,0.543753185960023,1.71003609020669,2.67061043,-0.894924170000003,404.448993250674,374.275705250202,0.0108360774834436,1.01095478437575,1.02190956875151,15.8835136052956,5.00152385325472,0.478156382791484,-0.688126521455179,0.204059196290651,0.200568196912025,1,"shade","high","elevated","shade-high","ee"
"1-ch02-shade-high","ch02","H4",14,5602.5,21,0,14.8968388,0.132169821,174.9851948,1.770824214,1.394514034,23.94686317,6,1.420000017,1,2.840000033,20.78087425,23.94686317,19.13291931,399.7507935,368.5652771,12.14067745,15.63664436,50.16103745,64.60514832,299.1677856,899.5911865,190.1161194,101.7426758,-0.073684454,0.078791648,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498612976,0.001770824,297.0968632,293.9308743,143.9345866,0.363423614,2.985428072,29.34292861,13.70628424,22.36386871,2.712966673,0.126292343,1.590914038,1.122052635,0.079440533,17.80346194,0.474773956,54.33960192,361.4840334,0.022393473,2013-10-26 10:33:51,12.9317090678926,10.3047713755352,0.437735703456459,4.3451293468636,0.727935416581405,38.8890248886962,0.516097600531379,1.70933683214533,3.16598892,-1.64795494,404.663684772552,374.41994867878,0.0111940253111116,1.01132075007398,1.02264150014796,15.4525231428013,5.1477517672661,0.506543899616582,-0.686695331997364,0.200173206359013,0.196744586069765,1,"shade","high","elevated","shade-high","ee"
"1-ch02-shade-high","ch02","H4",13,5522,21,0,14.83865878,0.132715847,176.0790007,1.87281567,1.468235147,24.43827057,6,1.420000017,1,2.840000033,21.898283,24.43827057,20.38880539,399.6725464,368.5235901,12.09277344,15.79009628,46.65488052,60.91944885,299.1208191,899.6314697,191.8922119,101.7410583,-0.073684454,0.078791648,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498534698,0.001872816,297.5882706,295.048283,143.9410319,0.389731759,3.074736254,30.22119392,14.43109764,23.16827679,2.848569168,0.126790795,1.606501107,1.24206806,0.079756095,17.91446388,0.477795738,53.30604772,361.4700024,0.021882597,2013-10-26 10:32:31,12.9439061784268,12.567999197078,0.440558157636819,4.34502115345,0.727970605089574,38.8895561892962,0.522271005884573,1.70955354607189,2.53998757,-1.50947761,404.564857564311,374.435970118872,0.0117919081526162,1.01193261647005,1.0238652329401,15.5408855239611,2.97288632688314,0.50159422705553,-0.685688313131786,0.336876254939715,0.331111412215097,1,"shade","high","elevated","shade-high","ee"
"1-ch02-shade-low","ch02","H4",11,4643.5,21,0,9.88270185,0.084619835,182.7744507,0.899872576,1.087562201,23.94742393,6,1.420000017,1,2.840000033,23.30036163,23.94742393,22.88864326,399.8145142,379.3087769,16.88170624,18.65286255,59.82280731,66.09915924,299.1562195,300.0626831,182.7981415,101.7520218,-0.073684454,0.078791648,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498593699,0.000899873,297.0974239,296.4503616,48.01002822,0.012308297,2.985528677,29.34122217,10.68835962,23.62389278,2.927974408,0.082171477,1.897966477,1.030007932,0.05157167,18.59766989,0.481861907,63.75645722,374.6110137,0.016819742,2013-10-26 10:17:51,19.6819713998115,12.4684748700687,0.457148112958627,4.36414547557036,0.727935456801457,38.889025495977,0.780722276446461,1.66092179090525,0.647062299999998,-0.411718370000003,406.679965918326,386.518452466904,0.00876256044094694,1.00884002166509,1.01768004333017,15.8817121967036,3.41323732663497,0.236957766883712,-0.643241747575077,0.174535072457377,0.171529832400222,1,"shade","low","elevated","shade-low","ee"
"1-ch02-shade-low","ch02","H4",10,4563,21,0,9.805522752,0.081451088,177.3320813,0.857469293,1.075759501,23.76960564,6,1.420000017,1,2.840000033,22.84796143,23.76960564,22.34717941,399.7991638,379.48349,16.76877594,18.45653534,61.07209778,67.21894073,299.2049866,300.444458,178.7342682,101.7533951,-0.073684454,0.078791648,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498674978,0.000857469,296.9196056,295.9979614,48.07111221,-0.001082559,2.953774633,29.02875753,10.57222219,23.30878353,2.872853469,0.079180203,1.878015132,0.994838337,0.049686762,18.04414133,0.467298541,63.73453617,374.8224141,0.016673241,2013-10-26 10:16:31,19.787034321468,12.2020618839662,0.443552906950827,4.36541397413473,0.727922695427725,38.8888328113252,0.756336326202685,1.66014888169039,0.92164421,-0.500782020000003,406.617643964898,386.619139817156,0.00866641804344237,1.00874218144243,1.01748436288487,15.538294001501,3.33623211753475,0.261148036682183,-0.642664518805526,0.177690085865755,0.1746281641916,1,"shade","low","elevated","shade-low","ee"
"1-ch02-shade-low","ch02","H4",9,4482.5,21,0,9.829057222,0.080028646,173.3695606,0.871381115,1.111854107,23.94109917,6,1.420000017,1,2.840000033,22.66510773,23.94109917,21.93467522,399.9326477,379.5543823,16.68883324,18.40446091,61.45283508,67.77024078,299.1361694,300.2227173,172.4952545,101.7438126,-0.073684454,0.078791648,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498560282,0.000871381,297.0910992,295.8151077,48.03563369,-0.055974103,2.984394128,29.33243853,10.92797763,23.30310345,2.871868258,0.077835317,1.872540021,0.999328237,0.048839487,17.63928008,0.456771331,62.87944115,374.8821193,0.016486399,2013-10-26 10:15:11,19.934029275257,13.0087724451432,0.43349689403214,4.36600916380646,0.72793500315455,38.8890186463801,0.732924259146178,1.65984673461998,1.27599144,-0.73043251,406.720335555401,386.670850859683,0.00895981537370835,1.00904081944678,1.01808163889356,15.2944405544572,2.28566810931394,0.285157379747379,-0.641765095726422,0.250760556703352,0.246462708930716,1,"shade","low","elevated","shade-low","ee"
"1-ch02-shade-low","ch02","H4",8,4402,21,0,9.727949108,0.078668868,172.2022152,0.898454007,1.165372911,24.21185303,6,1.420000017,1,2.840000033,22.81833458,24.21185303,21.57611656,400.1057434,379.9100342,16.59078979,18.3597126,60.52484512,66.97805023,299.1510925,299.6806946,168.5977173,101.7406082,-0.073684454,0.078791648,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498585154,0.000898454,297.361853,295.9683346,47.94891006,-0.087188962,3.033301238,29.81406629,11.45435369,23.5150938,2.908838957,0.076548452,1.867928327,1.04091063,0.048028875,17.51995811,0.453271037,61.69356478,375.2858331,0.01599186,2013-10-26 10:13:50,20.0897458470462,12.6135841895754,0.43039176027984,4.36660548609391,0.727954406108161,38.8893116080831,0.732917835023343,1.65830536531521,1.39351845,-1.24221802,406.85580249402,387.015528067048,0.0093941113673386,1.00948319758154,1.01896639516308,15.2289290639356,2.61534487436013,0.286048560139734,-0.639338970152137,0.220705803574566,0.216929903879389,1,"shade","low","elevated","shade-low","ee"
"1-ch02-sun-high","ch02","H4",6,3045.5,21,0,16.94034318,0.164625224,186.5527699,1.76572569,1.127051183,23.86595535,6,1.420000017,1,2.840000033,21.84905434,23.86595535,20.93418121,399.5979309,364.3301697,14.64813709,18.12548447,56.67720413,70.1319046,299.1454468,900.684082,285.4978027,101.7292709,0.294937372,0.079449683,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498575745,0.001765726,297.0159554,294.9990543,144.1094499,0.518501579,2.970943504,29.20441163,11.07892717,22.85750484,2.795494152,0.155605309,1.84389232,0.951601832,0.098025381,18.97787727,0.512043156,63.27359693,356.2775419,0.030085434,2013-10-26 09:51:14,10.9630104618578,13.0788738351915,0.466851190845343,4.33205580847966,0.727929611965813,38.8889372447976,0.500951343666901,1.72920289276203,2.01690101,-0.91487313,405.538311684806,371.055734656012,0.00904548849563536,1.00912805622319,1.01825611244638,16.1165611133403,3.03768727814881,0.517304768779479,-0.71094678031565,0.380429834812895,0.373963001452019,1,"sun","high","elevated","sun-high","ee"
"1-ch02-sun-high","ch02","H4",3,2804,21,0,16.42236254,0.15736812,185.1942402,1.844055604,1.227928941,24.3508606,6,1.420000017,1,2.840000033,22.89531708,24.3508606,21.90591621,399.7805786,365.4938049,14.36411095,17.99581528,52.15350342,65.33956909,299.1769409,899.9498291,749.8172607,101.7321396,0.294937372,0.079449683,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498628235,0.001844056,297.5008606,296.0453171,143.9919694,0.548703456,3.058681732,30.06603169,12.07021641,23.62308884,2.927832608,0.149105963,1.830752792,1.097079817,0.093899906,18.84020629,0.506695976,61.02544681,357.6874003,0.028018376,2013-10-26 09:47:12,11.3493862054263,12.0159625637754,0.463239712265502,4.33505471341828,0.727964354246355,38.8894618110582,0.509726786830606,1.72372082068946,1.45554352,-0.989400870000001,405.606759089633,372.191697944967,0.00986182928627173,1.0099600536349,1.0199201072698,16.0516185306045,4.03565596682905,0.510193320439196,-0.703800713419659,0.280933089536027,0.276149789673771,1,"sun","high","elevated","sun-high","ee"
"1-ch02-sun-high","ch02","H4",5,2965,21,0,16.82460768,0.162777067,186.1290359,1.796299109,1.158749286,24.01483536,6,1.420000017,1,2.840000033,21.9211235,24.01483536,20.92615891,399.7779541,364.7225647,14.53895283,18.07628441,56.00806046,69.63483429,299.1795349,900.0240479,288.8999329,101.7297134,0.294937372,0.079449683,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498632558,0.001796299,297.1648354,295.0711235,144.0038444,0.490654298,2.997644519,29.46675477,11.39047036,22.96797943,2.814261522,0.153953111,1.838895233,0.975366289,0.096976385,18.93485349,0.510330465,62.54988757,356.724952,0.029501085,2013-10-26 09:49:53,11.0709767572839,12.8138562881907,0.465581040652987,4.33282836656733,0.727940290741346,38.8890984832564,0.502273002227641,1.72734965259678,2.09371186,-0.994964589999999,405.676059188806,371.436761236439,0.00930165712371272,1.00938899029215,1.0187779805843,16.0926739215489,3.27881763335818,0.516504978356655,-0.708571672012488,0.351444524565536,0.345468902663336,1,"sun","high","elevated","sun-high","ee"
"1-ch02-sun-high","ch02","H4",4,2884.5,21,0,16.69456698,0.159838366,184.6025067,1.822361547,1.195874648,24.17789268,6,1.420000017,1,2.840000033,22.16775322,24.17789268,21.05726051,399.8426819,365.025116,14.4119091,18.00112724,54.69024277,68.31059265,299.1554565,899.8251953,260.1685181,101.7299652,0.294937372,0.079449683,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.498592428,0.001822362,297.3278927,295.3177532,143.972028,0.487073754,3.027128696,29.7565097,11.75538245,23.17282295,2.849352078,0.151321806,1.831254048,1.01809803,0.09530611,18.77960658,0.505725493,61.68476247,357.0893184,0.028838734,2013-10-26 09:48:33,11.1886670829025,12.733234319682,0.461687846386967,4.33402325547677,0.727951974327523,38.8892748913721,0.500367715155611,1.72592576681827,2.01013946,-1.11049271,405.689441250127,371.716430767443,0.00960200612701843,1.00969509852243,1.01939019704487,16.0042384900904,3.27100417040839,0.519022481889255,-0.706535569773405,0.349769749332123,0.343821752661057,1,"sun","high","elevated","sun-high","ee"
